================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               809.6        839.0      +29.4 (+3.6%)
Z3 time (s)                1454.5       1724.4     +269.9 (+18.6%)
Z3 rlimit                  2776.6       2642.0     -134.6 (-4.8%)
Queries                     25889        25864        -25 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
ImmutableST                                  16     16      +0        0.1       0.1      -0.8%       0.2      0.3
MRefST                                       21     21      +0        0.3       0.3      -0.3%       0.3      0.3
OPLSS2021.IFC.IST                             3      3      +0        0.0       0.0      -2.6%       0.0      0.0
Pulse.Checker.IntroPure                       1      1      +0        0.1       0.1      -0.9%       0.2      0.2
Pulse.Checker.Prover.Match.MKeys              7      7      +0        0.8       0.8      -0.1%       0.3      0.3
Pulse.Lib.Trade.Util                         14     14      +0        0.1       0.1      -1.0%       0.1      0.1
Sec2.IFC.IST                                  3      3      +0        0.0       0.0      -2.6%       0.0      0.0
TypeclassesAlt2                              15     15      +0        0.5       0.5      -0.2%       0.8      0.9
AutoPatterns                                  1      1      +0        0.0       0.0     -12.5%       0.2      0.3
FStar.OrdMap                                 38     38      +0        1.1       1.1      -0.1%       0.6      0.5
IntervalIntersect                            17     17      +0        2.9       2.9      -0.0%       1.8      1.9
X64.Vale.StrongPost_i                        63     63      +0        2.8       2.8      -0.0%       2.0      1.9
FStar.Reflection.Typing                     227    227      +0       27.6      27.6      -0.0%       7.0      7.2
CanonCommSemiring.Test                      123    123      +0        2.0       2.0      -0.0%       5.3      8.8
Ex07a                                        59     59      +0        3.8       3.8      -0.0%       2.1      2.6
Ex07d                                        69     69      +0        3.9       3.9      -0.0%       2.2      2.5
Ex10a                                        14     14      +0        0.2       0.2      -0.0%       0.4      0.5
Ex04a                                         4      4      +0        0.1       0.1      -0.0%       0.3      0.5
Ex04f                                         7      7      +0        0.1       0.1      -0.0%       0.3      0.3
Ex12d.Pad                                     7      7      +0        0.1       0.1      -0.0%       0.4      0.3
AdHocEffectPolymorphism                      10     10      +0        0.0       0.0      +0.0%       0.3      0.2
Add                                           8      8      +0        0.1       0.1      +0.0%       0.3      0.3
AdmitKrml                                     2      2      +0        0.0       0.0      +0.0%       0.2      0.1
AdmitTermination                              1      1      +0        0.0       0.0      +0.0%       0.0      0.0
Alg                                          92     92      +0       10.9      10.9      +0.0%       5.5      6.6
Alg.Alg                                       3      3      +0        0.0       0.0      +0.0%       0.0      0.0
AlgForAll.AlgWP                               3      3      +0        0.1       0.1      +0.0%       0.2      0.1
AlgHeap.Alg                                   3      3      +0        0.0       0.0      +0.0%       0.0      0.0
AlgHeap.AlgPP                                 1      1      +0        0.0       0.0      +0.0%       0.0      0.0
AlgHeap.AlgWP                                 3      3      +0        0.0       0.0      +0.0%       0.0      0.0
AlgWP.AlgPP                                   1      1      +0        0.0       0.0      +0.0%       0.1      0.1
