================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               809.6        839.0      +29.4 (+3.6%)
Z3 time (s)                1454.5       1724.4     +269.9 (+18.6%)
Z3 rlimit                  2776.6       2642.0     -134.6 (-4.8%)
Queries                     25889        25864        -25 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
FStar.RBSet                                  15     15      +0        0.3       0.3      +0.0%       0.2      0.2
FStar.Ref                                     5      5      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.RefinementExtensionality                4      4      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Reflection.TermEq                      91     91      +0       36.1      36.1      +0.0%       8.6      8.7
FStar.Reflection.TermEq.Simple                2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Reflection.V1.Derived                  15     15      +0        0.3       0.3      +0.0%       0.2      0.2
FStar.Reflection.V1.Derived.Lemmas           11     11      +0        0.6       0.6      +0.0%       0.3      0.2
FStar.Reflection.V1.Formula                  30     30      +0        0.5       0.5      +0.0%       0.3      0.3
FStar.Reflection.V2.Collect                   4      4      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Reflection.V2.Derived                  16     16      +0        0.3       0.3      +0.0%       0.2      0.2
FStar.Reflection.V2.Formula                  29     29      +0        0.4       0.4      +0.0%       0.2      0.3
FStar.Relational.Relational                   2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.ST                                     14     14      +0        0.2       0.2      +0.0%       0.1      0.1
FStar.Sealed.Inhabited                        2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Seq.Sorted                             14     14      +0        0.5       0.5      +0.0%       0.2      0.3
FStar.Sequence.Seq                            8      8      +0        0.9       0.9      +0.0%       0.3      0.3
FStar.Sequence.Util                          10     10      +0        0.4       0.4      +0.0%       0.2      0.2
FStar.Set                                    16     16      +0        0.2       0.2      +0.0%       0.2      0.2
FStar.SizeT                                  60     60      +0        1.0       1.0      +0.0%       0.6      0.6
FStar.Squash                                  4      4      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.SquashProperties                        8      8      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.String                                  5      5      +0        0.0       0.0      +0.0%       0.0      0.1
FStar.Stubs.Reflection.Types                  1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Stubs.Reflection.V1.Data               79     79      +0        0.8       0.8      +0.0%       0.5      0.3
FStar.Stubs.Reflection.V2.Data               79     79      +0        0.9       0.9      +0.0%       0.5      0.4
FStar.Stubs.Syntax.Syntax                    12     12      +0        0.0       0.0      +0.0%       0.0      0.1
FStar.Stubs.Tactics.Common                    1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Stubs.VConfig                           1      1      +0        0.0       0.0      +0.0%       0.1      0.0
FStar.TSet                                   18     18      +0        0.2       0.2      +0.0%       0.2      0.2
FStar.Tactics.BV                              1      1      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.Tactics.BV.Lemmas                      60     60      +0        0.4       0.4      +0.0%       0.2      0.3
FStar.Tactics.BreakVC                         4      4      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.Tactics.Canon                           1      1      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.Tactics.Canon.Lemmas                   19     19      +0        0.4       0.4      +0.0%       0.2      0.2
FStar.Tactics.CanonCommMonoid                30     30      +0        1.1       1.1      +0.0%       0.5      0.6
FStar.Tactics.CanonCommMonoidSimple          22     22      +0        0.7       0.7      +0.0%       0.4      0.4
FStar.Tactics.CanonCommMonoidSimple.Equi     24     24      +0        1.0       1.0      +0.0%       0.5      0.6
FStar.Tactics.CanonCommSemiring              79     79      +0        5.4       5.4      +0.0%       1.9      1.9
FStar.Tactics.CanonCommSwaps                 13     13      +0        0.8       0.8      +0.0%       0.2      0.3
FStar.Tactics.CanonMonoid                    11     11      +0        0.2       0.2      +0.0%       0.1      0.2
FStar.Tactics.CheckLN                         4      4      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Tactics.Effect                         17     17      +0        0.1       0.1      +0.0%       0.2      0.2
FStar.Tactics.Effect.TAC                     12     12      +0        0.1       0.1      +0.0%       0.0      0.0
FStar.Tactics.Effect.TacH                     2      2      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Tactics.LaxTermEq                       2      2      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.Tactics.Logic.Lemmas                   19     19      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Tactics.MApply0                         3      3      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Tactics.MkProjectors                    3      3      +0        0.2       0.2      +0.0%       0.2      0.2
FStar.Tactics.NamedView                     112    112      +0        3.2       3.2      +0.0%       1.3      1.3
FStar.Tactics.Names                           1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.Tactics.Parametricity                  14     14      +0        0.3       0.3      +0.0%       0.3      0.3
FStar.Tactics.PatternMatching                35     35      +0        0.5       0.5      +0.0%       0.4      0.5
FStar.Tactics.PrettifyType                   33     33      +0        0.7       0.7      +0.0%       0.5      0.5
FStar.Tactics.Print                           6      6      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Tactics.Simplifier                     14     14      +0        0.1       0.1      +0.0%       0.2      0.2
FStar.Tactics.TypeRepr                        8      8      +0        0.3       0.3      +0.0%       0.2      0.2
FStar.Tactics.Typeclasses                    14     14      +0        1.0       1.0      +0.0%       0.3      0.4
FStar.Tactics.Util                           17     17      +0        0.2       0.2      +0.0%       0.1      0.2
FStar.Tactics.V1.Derived                     32     32      +0        0.5       0.5      +0.0%       0.4      0.4
FStar.Tactics.V1.Logic                        3      3      +0        0.0       0.0      +0.0%       0.0      0.1
FStar.Tactics.V1.SyntaxHelpers                5      5      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Tactics.V2.Derived                     37     37      +0        0.5       0.5      +0.0%       0.5      0.5
FStar.Tactics.V2.Logic                        3      3      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.Tactics.V2.SyntaxHelpers                4      4      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Tactics.Visit                           4      4      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.Tcp                                     3      3      +0        0.0       0.0      +0.0%       0.1      0.1
FStar.TwoLevelHeap                            1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FStar.UInt16                                 57     57      +0       14.2      14.2      +0.0%       4.3      4.1
FStar.UInt32                                 57     57      +0       12.4      12.4      +0.0%       4.0      4.1
FStar.UInt64                                 57     57      +0       13.6      13.6      +0.0%       4.5      4.5
FStar.UInt8                                  57     57      +0       12.3      12.3      +0.0%       4.2      4.2
FStar.Universe                                2      2      +0        0.0       0.0      +0.0%       0.1      0.0
FStar.Vector.Base                            52     52      +0        0.5       0.5      +0.0%       0.3      0.3
FStar.Vector.Properties                       6      6      +0        0.3       0.3      +0.0%       0.1      0.1
FStar.WellFounded                             6      6      +0        0.1       0.1      +0.0%       0.1      0.1
FStar.WellFounded.Util                       18     18      +0        0.4       0.4      +0.0%       0.3      0.3
FStar.WellFoundedRelation                    21     21      +0        0.6       0.6      +0.0%       0.4      0.4
FStar.Witnessed.Core                          1      1      +0        0.0       0.0      +0.0%       0.0      0.0
FactorialTailRec                              4      4      +0        1.0       1.0      +0.0%       0.4      0.4
Fib                                           1      1      +0        0.0       0.0      +0.0%       0.5      0.2
FirstProofs                                   6      6      +0        0.1       0.1      +0.0%       0.3      0.6
FriendConsumer                                2      2      +0        0.0       0.0      +0.0%       0.3      0.4
FullReductionInterpreter                     15     15      +0        0.1       0.1      +0.0%       0.3      0.4
Funcs                                         7      7      +0        0.2       0.2      +0.0%       0.4      0.9
GEXN                                          2      2      +0        0.0       0.0      +0.0%       0.2      0.2
GMST                                          9      9      +0        0.1       0.1      +0.0%       0.3      0.3
GRewrite                                      6      6      +0        0.0       0.0      +0.0%       0.1      0.2
GT                                           10     10      +0        0.1       0.1      +0.0%       0.4      0.3
GTWP                                         20     20      +0        1.6       1.6      +0.0%       0.8      0.8
GTWP.GTD                                      3      3      +0        0.0       0.0      +0.0%       0.0      0.0
GenericPartialDM4A                            8      8      +0        0.1       0.1      +0.0%       0.3      0.3
GenericPartialDM4A.DM4A                       3      3      +0        0.0       0.0      +0.0%       0.0      0.0
GenericSort                                   8      8      +0        0.1       0.1      +0.0%       0.2      0.2
GenericStability                             20     20      +0        0.5       0.5      +0.0%       0.4      0.4
GenericTotalDM4A                              3      3      +0        0.1       0.1      +0.0%       0.2      0.2
GenericTotalDM4A.DM4A                         3      3      +0        0.0       0.0      +0.0%       0.0      0.0
GhostTest                                     3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Goals                                         2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Goto                                         38     38      +0        0.8       0.8      +0.0%       0.7      0.8
GradedMonad                                   3      3      +0        0.0       0.0      +0.0%       0.3      0.3
Hacl.Meta                                     1      1      +0        0.0       0.0      +0.0%       0.2      0.2
HandleSmtGoal                                 2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Harness                                       3      3      +0        0.0       0.0      +0.0%       0.9      0.6
Higher                                        7      7      +0        0.1       0.1      +0.0%       0.2      0.2
HintReplay                                    1      1      +0        0.0       0.0      +0.0%       0.1      0.2
HoareDiv                                      4      4      +0        0.0       0.0      +0.0%       0.2      0.2
HoareDiv.HoareDiv                             3      3      +0        0.0       0.0      +0.0%       0.0      0.0
HoareST.HoareST                               3      3      +0        0.0       0.0      +0.0%       0.0      0.0
HoareSTFree                                  29     29      +0        1.7       1.7      +0.0%       0.9      0.9
HoareSTFree.M                                 1      1      +0        0.0       0.0      +0.0%       0.0      0.0
HoareSTPolyBind.HoareST                       3      3      +0        0.0       0.0      +0.0%       0.0      0.0
HoleBy                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Huffman                                      32     32      +0        1.6       1.6      +0.0%       0.9      1.0
Hybrid                                       13     13      +0        0.5       0.5      +0.0%       0.7      0.7
ID1                                          26     26      +0        0.3       0.3      +0.0%       0.5      0.5
ID1.ID                                        3      3      +0        0.0       0.0      +0.0%       0.0      0.0
ID1.Id                                        1      1      +0        0.0       0.0      +0.0%       0.0      0.0
ID2                                          11     11      +0        0.1       0.1      +0.0%       0.2      0.2
ID2.ID                                        3      3      +0        0.0       0.0      +0.0%       0.0      0.0
ID2.Id                                        1      1      +0        0.0       0.0      +0.0%       0.0      0.0
ID3                                          10     10      +0        0.1       0.1      +0.0%       0.4      0.3
ID3.ID                                        4      4      +0        0.0       0.0      +0.0%       0.0      0.0
ID3.Id                                        1      1      +0        0.0       0.0      +0.0%       0.0      0.0
ID4                                          17     17      +0        0.4       0.4      +0.0%       0.7      0.7
ID4.ID                                        3      3      +0        0.1       0.1      +0.0%       0.0      0.1
ID4.Id                                        1      1      +0        0.0       0.0      +0.0%       0.0      0.0
ID5                                          32     32      +0        0.4       0.4      +0.0%       0.5      0.5
ID5.ID                                        3      3      +0        0.0       0.0      +0.0%       0.0      0.0
ID5.Id                                        1      1      +0        0.0       0.0      +0.0%       0.0      0.0
IEXN                                          6      6      +0        0.0       0.0      +0.0%       0.3      0.2
IMST                                          3      3      +0        0.1       0.1      +0.0%       0.3      0.3
IMSTsub                                       7      7      +0        0.1       0.1      +0.0%       0.5      0.4
IOWPInconsistent                              7      7      +0        0.0       0.0      +0.0%       0.4      0.5
IST                                           3      3      +0        0.0       0.0      +0.0%       0.2      0.1
Imp                                          56     56      +0        1.0       1.0      +0.0%       1.2      1.2
ImpureSpec                                   26     26      +0        0.2       0.2      +0.0%       0.3      0.4
InameReduce                                   2      2      +0        0.0       0.0      +0.0%       0.1      0.2
IndInd                                       38     38      +0        0.6       0.6      +0.0%       0.5      0.6
InjectiveTypeFormers.SMT                      2      2      +0        0.0       0.0      +0.0%       0.0      0.0
InlineArrayLen                                7      7      +0        0.2       0.2      +0.0%       0.3      0.4
InsertionSort                                 3      3      +0        0.4       0.4      +0.0%       0.3      0.6
InsertionSort2                                9      9      +0        0.5       0.5      +0.0%       0.6      0.4
InspectEffComp                                2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Instantiate                                   6      6      +0        0.0       0.0      +0.0%       0.2      0.2
IntBV                                         4      4      +0        0.0       0.0      +0.0%       0.2      0.2
IntSort                                       6      6      +0        0.1       0.1      +0.0%       0.2      0.2
Integration                                   2      2      +0        0.0       0.0      +0.0%       0.0      0.0
Intro                                        15     15      +0        0.3       0.3      +0.0%       0.5      0.6
IntroGhost                                    6      6      +0        0.0       0.0      +0.0%       0.4      0.6
IteSoundness                                  7      7      +0        0.1       0.1      +0.0%       0.2      0.3
IteSoundness.MPURE                            3      3      +0        0.0       0.0      +0.0%       0.0      0.0
Join                                         58     58      +0        0.9       0.9      +0.0%       1.7      2.5
JoinIf                                       75     75      +0        3.0       3.0      +0.0%       1.8      4.5
LList                                         4      4      +0        0.2       0.2      +0.0%       0.2      0.4
LN                                            1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Label                                         1      1      +0        0.0       0.0      +0.0%       0.2      0.3
LambdaImplicits                               4      4      +0        0.0       0.0      +0.0%       0.2      0.3
Lattice                                      23     23      +0        1.4       1.4      +0.0%       0.8      0.8
Lattice.EFF                                   3      3      +0        0.0       0.0      +0.0%       0.0      0.0
LatticeEff.EFF                                3      3      +0        0.0       0.0      +0.0%       0.0      0.0
LatticeSpec                                  24     24      +0        3.6       3.6      +0.0%       1.7      2.1
LatticeSpec.EFF                               3      3      +0        0.1       0.1      +0.0%       0.0      0.0
LemmaArgs                                     4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Lens                                          8      8      +0        0.1       0.1      +0.0%       0.4      0.4
Lib.Exponentiation.Definition                38     38      +0        1.1       1.1      +0.0%       1.6      1.7
Lib.IntTypes                                 53     53      +0        2.3       2.3      +0.0%       1.5      1.6
Lib.LoopCombinators                         100    100      +0        2.9       2.9      +0.0%       2.4      2.4
Lib.Sequence                                 63     63      +0        1.2       1.2      +0.0%       9.3     10.3
LocalState                                    1      1      +0        0.0       0.0      +0.0%       0.1      0.1
LocalState.Test                               1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Locals.Effect                                21     21      +0        0.8       0.8      +0.0%       0.8      0.8
Locals.Effect.LV                              1      1      +0        0.0       0.0      +0.0%       0.0      0.0
Locals.Effect.LVARS                          10     10      +0        0.3       0.3      +0.0%       0.1      0.2
Long                                          4      4      +0        0.0       0.0      +0.0%       0.2      0.2
LoopDecreases                                16     16      +0        0.1       0.1      +0.0%       0.3      0.3
LoopInvariants                               28     28      +0        0.1       0.1      +0.0%       0.4      0.9
LoopRequires                                 13     13      +0        0.1       0.1      +0.0%       0.2      0.3
MAC                                           5      5      +0        0.1       0.1      +0.0%       0.3      0.3
MachineIntegerConstants                       8      8      +0        0.3       0.3      +0.0%       0.8      1.8
Map.OpaqueToSMT                               2      2      +0        0.0       0.0      +0.0%       0.2      0.6
Map.OpaqueToSMT.Test                          1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Match                                        24     24      +0        0.3       0.3      +0.0%       0.3      0.4
Match.Returns                                 2      2      +0        0.0       0.0      +0.0%       0.3      0.7
MatchBasic                                   34     34      +0        0.3       0.3      +0.0%       0.5      1.7
MatchRW                                       3      3      +0        0.0       0.0      +0.0%       0.2      0.1
MatchRange                                    2      2      +0        0.0       0.0      +0.0%       0.3      0.6
MatchRest                                    18     18      +0        0.1       0.1      +0.0%       0.4      1.0
Matches                                      10     10      +0        0.1       0.1      +0.0%       0.2      0.2
McCarthy91                                    3      3      +0        0.0       0.0      +0.0%       0.3      0.3
Memo                                         51     51      +0        2.0       2.0      +0.0%       1.9      3.0
MergeSort                                     5      5      +0        2.2       2.2      +0.0%       1.3      1.6
MergeSort2                                   16     16      +0        2.2       2.2      +0.0%       1.3      1.3
MerkleTree                                   56     56      +0        1.2       1.2      +0.0%       1.3      1.3
MetaArgs                                      3      3      +0        0.0       0.0      +0.0%       0.2      0.3
Metaprogramming                               5      5      +0        0.0       0.0      +0.0%       0.3      0.2
Micro                                         2      2      +0        0.0       0.0      +0.0%       0.2      0.2
MicroQueries                                100    100      +0        1.6       1.6      +0.0%       0.9      1.1
MiniValeSemantics                            43     43      +0        0.9       0.9      +0.0%       3.0      5.3
Misc.Norm2                                    1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Misc.Norm3                                    2      2      +0        0.0       0.0      +0.0%       0.3      0.5
MkList                                        3      3      +0        0.1       0.1      +0.0%       0.3      0.3
Monad                                         2      2      +0        0.0       0.0      +0.0%       0.1      0.2
MonadFull.Class                               1      1      +0        0.0       0.0      +0.0%       0.2      0.2
MonadFunctorInference                         8      8      +0        0.1       0.1      +0.0%       0.4      0.6
MonadicLetBindings                           13     13      +0        0.1       0.1      +0.0%       0.2      0.3
Monoid                                       42     42      +0        2.4       2.4      +0.0%       3.5      3.4
MultiRef                                      2      2      +0        0.0       0.0      +0.0%       0.1      0.3
MultiStage                                    8      8      +0        0.2       0.2      +0.0%       0.6      0.5
MultipleAttributesBinder                      4      4      +0        0.0       0.0      +0.0%       0.2      0.2
MyMap                                         2      2      +0        0.0       0.0      +0.0%       0.1      0.2
NArrows                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
ND.ND                                         3      3      +0        0.0       0.0      +0.0%       0.0      0.0
ND.Nd                                         1      1      +0        0.0       0.0      +0.0%       0.0      0.0
NamedViewCtor                                 2      2      +0        0.2       0.2      +0.0%       0.3      0.3
NatHeap                                      31     31      +0        1.3       1.3      +0.0%       1.0      1.0
Neg                                           2      2      +0        0.0       0.0      +0.0%       0.2      0.1
NegativeTests.Bug260                          6      6      +0        0.0       0.0      +0.0%       0.3      0.5
NegativeTests.False                           6      6      +0        0.0       0.0      +0.0%       0.3      0.4
NegativeTests.Neg                             2      2      +0        0.0       0.0      +0.0%       0.0      0.0
NegativeTests.Termination                     6      6      +0        0.0       0.0      +0.0%       0.0      0.2
NestedLemma                                   1      1      +0        0.0       0.0      +0.0%       0.2      0.2
NewMatch                                      5      5      +0        0.0       0.0      +0.0%       0.2      0.2
NoDuplicateSplice                             1      1      +0        0.0       0.0      +0.0%       0.3      0.3
NoInst                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.1
NoRewrite                                     6      6      +0        0.0       0.0      +0.0%       0.2      0.3
NormBinderType                                1      1      +0        0.0       0.0      +0.0%       0.2      0.4
NormCfgMemo                                   1      1      +0        0.0       0.0      +0.0%       0.2      0.2
NormLHS                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.1
NormMachineInteger                            1      1      +0        0.0       0.0      +0.0%       0.1      0.3
NormTypesForSMT                               1      1      +0        0.0       0.0      +0.0%       0.2      0.4
NormVsSMT                                     3      3      +0        0.0       0.0      +0.0%       0.3      0.2
Normalization                                15     15      +0        0.1       0.1      +0.0%       0.4      0.5
Null                                          6      6      +0        0.0       0.0      +0.0%       0.2      0.2
OPLSS                                         2      2      +0        0.0       0.0      +0.0%       0.1      0.2
OPLSS2021.Basic                              24     24      +0        0.4       0.4      +0.0%       0.7      0.7
OPLSS2021.BasicState                          5      5      +0        0.0       0.0      +0.0%       0.2      0.2
OPLSS2021.Demo1                              13     13      +0        0.2       0.2      +0.0%       0.2      0.3
OPLSS2021.DijkstraMonads                     15     15      +0        0.2       0.2      +0.0%       0.4      0.4
OPLSS2021.DijkstraMonads.ST                   3      3      +0        0.0       0.0      +0.0%       0.0      0.0
OPLSS2021.Factorial                           3      3      +0        0.1       0.1      +0.0%       0.2      0.2
OPLSS2021.NDS                                 3      3      +0        0.0       0.0      +0.0%       0.2      0.2
OPLSS2021.ParDiv                             28     28      +0        1.5       1.5      +0.0%       1.1      1.0
OPLSS2021.ParNDS                             20     20      +0        0.5       0.5      +0.0%       0.4      0.5
OPLSS2021.ParNDSDiv                          28     28      +0        1.5       1.5      +0.0%       1.0      1.0
OPLSS2021.ParTot                             20     20      +0        0.5       0.5      +0.0%       0.5      0.6
OPLSS2021.STLC                               26     26      +0        0.9       0.9      +0.0%       0.7      0.6
OPLSS2021.Vale                               25     25      +0        0.7       0.7      +0.0%       0.5      0.6
OPLSS2021.ValeVC                             19     19      +0        0.4       0.4      +0.0%       0.5      0.6
OPLSS2021.ValeVCNoProp                       19     19      +0        0.3       0.3      +0.0%       0.6      0.6
OPLSS2021.Vector                             13     13      +0        0.2       0.2      +0.0%       0.2      0.3
OneTimePad                                    4      4      +0        7.8       7.8      +0.0%       3.7      8.7
Opaque_i                                      1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Operators                                     3      3      +0        0.0       0.0      +0.0%       0.1      0.2
PackInd                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
PackInd2                                      6      6      +0        0.1       0.1      +0.0%       0.3      0.6
ParSubst                                     15     15      +0        0.6       0.6      +0.0%       0.6      0.7
Param                                        39     39      +0        0.8       0.8      +0.0%       0.8      0.8
Parentheses                                   4      4      +0        0.0       0.0      +0.0%       0.5      0.6
ParseTest                                     1      1      +0        0.2       0.2      +0.0%       0.2      0.2
Parsing                                       9      9      +0        0.0       0.0      +0.0%       0.2      0.2
Part1.Assertions                              3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Part1.GettingOffTheGround                    11     11      +0        0.1       0.1      +0.0%       0.3      0.3
Part1.Inductives                             10     10      +0        0.1       0.1      +0.0%       0.4      0.3
Part1.Lemmas                                 35     35      +0        0.9       0.9      +0.0%       0.7      0.8
Part1.Quicksort                              14     14      +0        2.6       2.6      +0.0%       1.6      2.1
Part1.Quicksort.Generic                      11     11      +0        1.0       1.0      +0.0%       0.7      0.7
Part1.Quicksort.Main                          2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Part1.Quicksort.Permutation                  13     13      +0        1.0       1.0      +0.0%       0.6      0.8
Part1.Termination                            10     10      +0        0.1       0.1      +0.0%       0.2      0.2
Part2.Free                                   16     16      +0        0.8       0.8      +0.0%       0.6      0.6
Part2.FreeFunExt                             17     17      +0        1.1       1.1      +0.0%       0.7      0.8
Part2.HOAS                                   15     15      +0        0.1       0.1      +0.0%       0.2      0.3
Part2.PHOAS                                  14     14      +0        0.1       0.1      +0.0%       0.2      0.2
Part2.Par                                    16     16      +0        0.3       0.3      +0.0%       0.4      0.3
Part2.Positivity                              5      5      +0        0.0       0.0      +0.0%       0.2      0.1
Part2.ST                                      6      6      +0        0.1       0.1      +0.0%       0.3      0.2
Part2.STInt                                   6      6      +0        0.1       0.1      +0.0%       0.2      0.2
Part2.STLC                                   63     63      +0        1.1       1.1      +0.0%       1.0      1.2
Part2.STLC.Strong                            57     57      +0        0.9       0.9      +0.0%       0.8      0.8
Part2.WellFounded                            19     19      +0        0.3       0.3      +0.0%       0.7      0.7
Part4.UTLCEx1                                10     10      +0        0.2       0.2      +0.0%       0.2      0.2
Part4.UTLCEx2                                14     14      +0        0.1       0.1      +0.0%       0.2      0.2
Part5.Mapply                                  3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Part5.Pow2                                    3      3      +0        0.0       0.0      +0.0%       0.2      0.1
PatAnnot                                      8      8      +0        0.0       0.0      +0.0%       0.1      0.2
PatImps                                      12     12      +0        0.1       0.1      +0.0%       1.2      1.0
PatternMatch.IFuel                            4      4      +0        0.0       0.0      +0.0%       0.4      0.7
Plugins.Test                                  2      2      +0        0.0       0.0      +0.0%       0.2      0.2
PointwiseLoop                                 2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Pose                                          1      1      +0        0.0       0.0      +0.0%       0.1      0.3
PoseLemma                                     2      2      +0        0.0       0.0      +0.0%       0.1      0.3
PositiveRelaxed                               6      6      +0        0.0       0.0      +0.0%       0.3      0.2
Positivity                                   32     32      +0        0.2       0.2      +0.0%       0.9      2.6
Postprocess                                  46     46      +0        0.3       0.3      +0.0%       0.9      1.2
PrecedesRank                                  5      5      +0        0.1       0.1      +0.0%       0.3      0.4
Preprocess                                    1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Prettify                                     53     53      +0        0.7       0.7      +0.0%       0.9      1.2
Prims                                         7      7      +0        0.0       0.0      +0.0%       0.1      0.1
Print.Test                                    1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Printers                                     11     11      +0        0.3       0.3      +0.0%       0.5      0.5
Problem01                                    11     11      +0        5.0       5.0      +0.0%       3.1      3.6
PropImpredicativeAndNonStrictlyPositiveI      8      8      +0        0.0       0.0      +0.0%       0.3      0.3
PropProofs                                    1      1      +0        0.0       0.0      +0.0%       0.3      0.4
PropositionalExtensionalityInconsistent       4      4      +0        0.0       0.0      +0.0%       0.5      0.5
ProvableEquality                             25     25      +0        0.1       0.1      +0.0%       0.5      0.4
ProverLemmas                                  5      5      +0        0.0       0.0      +0.0%       0.2      0.2
Pruning                                      12     12      +0        0.1       0.1      +0.0%       0.8      0.9
Pulse.C.Typenat                               2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Pulse.C.Types.Array.Base                      1      1      +0        0.0       0.0      +0.0%       0.0      0.0
Pulse.C.Types.Base                           23     23      +0        0.2       0.2      +0.0%       0.2      0.2
Pulse.C.Types.Fields                          1      1      +0        0.0       0.0      +0.0%       0.1      0.0
Pulse.C.Types.Scalar                         24     24      +0        0.3       0.3      +0.0%       0.2      0.2
Pulse.C.Types.Struct                         24     24      +0        0.3       0.3      +0.0%       0.2      0.2
Pulse.C.Types.Union                          30     30      +0        0.5       0.5      +0.0%       0.2      0.3
Pulse.C.Types.UserStruct                      9      9      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.C.Typestring                            2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Pulse.Checker.Comp                            1      1      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Checker.Goto                            2      2      +0        0.3       0.3      +0.0%       0.2      0.2
Pulse.Checker.ImpureSpec                     12     12      +0        0.7       0.7      +0.0%       0.5      0.5
Pulse.Checker.ST                              1      1      +0        2.5       2.5      +0.0%       0.5      0.6
Pulse.Class.PtsTo                             1      1      +0        0.0       0.0      +0.0%       0.0      0.1
Pulse.Common                                 18     18      +0        0.7       0.7      +0.0%       0.3      0.4
Pulse.Elaborate                              10     10      +0       23.6      23.6      +0.0%       5.0      5.3
Pulse.Elaborate.Core                          4      4      +0        0.0       0.0      +0.0%       0.1      0.1
Pulse.Elaborate.Pure                         13     13      +0        0.5       0.5      +0.0%       0.3      0.3
Pulse.Extract.Main                           15     15      +0        0.6       0.6      +0.0%       0.5      0.6
Pulse.Lib.AVLTree                           255    255      +0        5.4       5.4      +0.0%       2.8      3.0
Pulse.Lib.AnchoredReference                  66     66      +0        5.0       5.0      +0.0%       1.5      1.7
Pulse.Lib.Borrow                            111    111      +0        1.6       1.6      +0.0%       1.2      1.2
Pulse.Lib.Box                                28     28      +0        0.2       0.2      +0.0%       0.2      0.2
Pulse.Lib.CancellableInvariant               58     58      +0        0.5       0.5      +0.0%       0.4      0.4
Pulse.Lib.ConditionVar                      129    129      +0        2.8       2.8      +0.0%       1.3      1.5
Pulse.Lib.Core                                9      9      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.Core.Refs                           7      7      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.CountingSemaphore                 142    142      +0        2.5       2.5      +0.0%       1.3      1.4
Pulse.Lib.DequeRef                           12     12      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.FlippableInv                       16     16      +0        0.2       0.2      +0.0%       0.1      0.2
Pulse.Lib.Forall                              6      6      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.Fractional                         20     20      +0        0.2       0.2      +0.0%       0.2      0.2
